distortion,severity,miou
gaussian_noise,L1,0.4221202338921162
gaussian_noise,L2,0.38413991645954737
gaussian_noise,L3,0.345723459901989
gaussian_noise,L4,0.3088141058204422
gaussian_noise,L5,0.26123834360594395
jpeg_compression,L1,0.45425858726232715
jpeg_compression,L2,0.4519531225612231
jpeg_compression,L3,0.44743737532614514
jpeg_compression,L4,0.4398311913161665
jpeg_compression,L5,0.3655551806429312
low_light,L1,0.45365342518958046
low_light,L2,0.45081419933872097
low_light,L3,0.4443955247486672
low_light,L4,0.4305428006062234
low_light,L5,0.3600704512515408
rain,L1,0.45286585582183825
rain,L2,0.4485396954876222
rain,L3,0.44127621314818105
rain,L4,0.4349672191821429
rain,L5,0.4193418445253373
